source_id,subzone,soil_order,soil_texture,soil_drainage,soil_depth,suitability_score,suitability_level,territorial_authority,area_m2,lat,lon,title_count
013c0199-58c5-4deb-b3a0-80384cd753d3,,Gley,Sandy,Poorly drained,Deep,4.0,Marginal,Whakatane District,62882.41882198796,-38.00756464415187,176.74791100746552,1
013dacb1-ee3e-42e5-91a8-f556dbabd179,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,321355.2054201844,-37.65599534938784,175.93257188702125,1
013e7756-4041-4596-91b3-0488952a24f0,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,52928.88413193822,-37.6509570746948,175.9928358702639,1
0140d220-dddb-49d0-b500-15d40fcc7533,Te Puke,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,26512.591746255974,-37.843176304683816,176.25125022148873,1
01413d55-b9c4-44e7-8eb4-ef791daf62f5,,Gley,Loamy,Poorly drained,Deep,6.0,Good,Western Bay of Plenty District,1658304.0,-37.76090878509496,176.35493111656595,1
01472350-0bd4-4e91-872e-54aa7133ab61,,Brown,Loamy,Well drained,Deep,8.4,Excellent,Ōpōtiki District,32705.222742296894,-37.630749493170775,177.89692316263927,1
014a1125-66cf-4b55-a691-d2abcd18c22e,,Pumice,Loamy,Well drained,Deep,10.0,Excellent,Ōpōtiki District,88182.0,-38.01063874050266,177.2476623050634,1
014ab98c-357a-4540-99a0-cbd82f36f0bb,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,304089.5603200077,-37.70189782248672,176.01845192345024,1
014b1008-0caa-492e-976b-649aad4fea09,,Pumice,Sandy,Well drained,Deep,8.0,Excellent,Western Bay of Plenty District,926072.0,-37.84658491350937,176.56204716228422,1
014ba1a5-ab26-4366-a85f-a2320fa457e9,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,14275.0070449848,-37.51567249365419,175.9292954610709,1
014d58fd-b636-4bfd-b198-b9026d75623e,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,30616.0,-37.65767092720268,176.01829077454374,1
015020aa-4c50-4526-9032-9009d1adde49,,Pumice,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,21452.82730879262,-37.88606668672524,176.11362579870124,1
0154ad4f-3c0e-4ca9-9139-89e5ca054689,,Pumice,Sandy,Well drained,Deep,8.0,Excellent,Western Bay of Plenty District,51808.15338232686,-37.89876349044084,176.42156351138252,1
