source_id,suitability_score,lcdb_class_2023,subzone,territorial_authority
e6216266-7c12-4f02-8f5e-0533684c912b,8.0,High Producing Exotic Grassland,,Whakatane District
6547102,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4150048,10.0,High Producing Exotic Grassland,,��p��tiki District
4458440,8.0,High Producing Exotic Grassland,,Whakatane District
4db0bece-0bbc-4fbe-8cc4-d6d33f65833a,10.0,Built-up Area (settlement),Katikati,Western Bay of Plenty District
4603608,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4586980,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
4604887,8.0,Exotic Forest,,Western Bay of Plenty District
4603948,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4582469,10.0,Built-up Area (settlement),Tauranga,Tauranga City
4575124,10.0,Manuka and/or Kanuka,,Western Bay of Plenty District
4604027,10.0,Indigenous Forest,,Western Bay of Plenty District
4603626,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
7282434,10.0,Broadleaved Indigenous Hardwoods,,��p��tiki District
4574562,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4572445,8.0,Indigenous Forest,,Western Bay of Plenty District
4325712,8.8,Indigenous Forest,,Western Bay of Plenty District
4398044,8.0,High Producing Exotic Grassland,,Whakatane District
4580197,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4603558,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4151186,8.4,High Producing Exotic Grassland,Opotiki,��p��tiki District
4155944,8.4,High Producing Exotic Grassland,,��p��tiki District
7556506,8.0,High Producing Exotic Grassland,,Whakatane District
4589656,10.0,Built-up Area (settlement),Katikati,Western Bay of Plenty District
4603660,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4577579,10.0,Exotic Forest,,Western Bay of Plenty District
4152984,10.0,High Producing Exotic Grassland,,��p��tiki District
4151033,8.4,Short-rotation Cropland,,��p��tiki District
4409521,10.0,Indigenous Forest,,Western Bay of Plenty District
4330375,8.4,Urban Parkland/Open Space,,Whakatane District
4589603,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4603396,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
6682274,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
6693074,10.0,Exotic Forest,,Western Bay of Plenty District
dfb21f02-3f92-4792-9f7e-267cb3627a5a,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
4567030,8.4,High Producing Exotic Grassland,,Whakatane District
4575911,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4581520,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4589596,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4601670,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4149880,8.4,High Producing Exotic Grassland,,��p��tiki District
e00effde-ee9b-41c6-9420-2abc48882200,8.0,High Producing Exotic Grassland,,Whakatane District
7ca4c4ad-8384-4b60-b254-9ef5372703fb,10.0,Manuka and/or Kanuka,,��p��tiki District
4418083,8.8,High Producing Exotic Grassland,,Western Bay of Plenty District
4531288,8.0,High Producing Exotic Grassland,,Whakatane District
4581062,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4572689,10.0,High Producing Exotic Grassland,,Whakatane District
4151076,8.4,High Producing Exotic Grassland,,��p��tiki District
85c00a11-f03f-45a0-b9b2-1d687e10d5fa,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4568331,8.4,High Producing Exotic Grassland,,Whakatane District
4579528,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
06566ccc-2cfc-41bd-a321-dd24e88a2c0f,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
4585526,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4607206,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
03244bbc-0a4d-46c1-aa22-e26598b5a6c0,10.0,Built-up Area (settlement),Tauranga,Tauranga City
4604427,8.8,Built-up Area (settlement),,Western Bay of Plenty District
4589202,8.0,High Producing Exotic Grassland,,Whakatane District
4574185,10.0,Manuka and/or Kanuka,,Western Bay of Plenty District
4604307,8.0,Built-up Area (settlement),Tauranga,Tauranga City
4480734,8.0,Indigenous Forest,,Whakatane District
4584338,8.0,High Producing Exotic Grassland,,Whakatane District
4585114,10.0,Low Producing Grassland,,Western Bay of Plenty District
4604663,10.0,Urban Parkland/Open Space,,Western Bay of Plenty District
4583230,8.4,High Producing Exotic Grassland,,Whakatane District
6777489,8.0,High Producing Exotic Grassland,,Whakatane District
4463097,10.0,Urban Parkland/Open Space,Tauranga,Tauranga City
4152071,8.4,High Producing Exotic Grassland,,��p��tiki District
4606750,9.6,Indigenous Forest,Tauranga,Western Bay of Plenty District
4589069,10.0,Indigenous Forest,,Western Bay of Plenty District
4485991,8.4,Exotic Forest,,Western Bay of Plenty District
4389009,10.0,Broadleaved Indigenous Hardwoods,Tauranga,Western Bay of Plenty District
7091759,10.0,High Producing Exotic Grassland,,��p��tiki District
4588083,8.4,High Producing Exotic Grassland,,Whakatane District
4573665,8.0,Indigenous Forest,,Whakatane District
4574888,8.0,High Producing Exotic Grassland,,Whakatane District
34902cc3-4e86-4fc1-8b48-2459aa155884,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
