source_id,suitability_score,lcdb_class_2023,subzone,territorial_authority
50e89e24-06e7-4bc5-aa42-1f432d1ad256,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
63adcaa7-9696-4077-9363-33a3782d84f4,10.0,Built-up Area (settlement),Tauranga,Tauranga City
7af936eb-a6b8-413f-9410-6600ff9a4c3f,10.0,High Producing Exotic Grassland,,Whakatane District
6cdb456b-4e7a-4109-9639-9e7cdf70ccfb,10.0,Built-up Area (settlement),Tauranga,Tauranga City
85334fa6-4cc6-4ba6-8cf3-de7c0682c3a5,8.0,High Producing Exotic Grassland,,Whakatane District
a34e3a58-8f1c-40ff-83b7-d26e2ede93e0,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
86525181-ffaf-4df5-bc53-dfb3ea33a135,10.0,Built-up Area (settlement),Tauranga,Tauranga City
953ad813-b9c3-4b87-9306-dd0e4a156ce6,10.0,High Producing Exotic Grassland,,Tauranga City
87f33f12-300a-4a25-9fe5-c2ae9789ad03,10.0,High Producing Exotic Grassland,,��p��tiki District
52a5a50c-9b8c-4c67-b2c8-72008d0a6509,8.0,High Producing Exotic Grassland,,Whakatane District
2ebd4aa5-f66d-48c2-adbf-908f8ddc5478,10.0,Built-up Area (settlement),Tauranga,Tauranga City
ea944108-f705-4256-86d4-57de3275c945,10.0,High Producing Exotic Grassland,,��p��tiki District
4604631,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
9ae20541-c7db-4eb9-86a3-ace07f980482,8.0,High Producing Exotic Grassland,,Whakatane District
6108313e-f8a2-4842-9eb9-0aeb7a627aa0,8.0,High Producing Exotic Grassland,,Whakatane District
746497a8-c1e4-4a1b-8319-91c472497edb,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
79783c42-8019-4277-87e3-8a60f4dc88f2,8.0,Manuka and/or Kanuka,,Whakatane District
836f5ece-a97d-4b0d-9d29-2228e779d6a0,8.0,High Producing Exotic Grassland,,Whakatane District
84180b7c-3008-44c1-b596-ce6b1fb0e04f,8.0,Low Producing Grassland,,Whakatane District
1c5c7b10-c560-4d42-b026-1dc18bd0ffe3,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
147e7f4d-85c2-4db0-8e7d-4f57fcc7f4bc,8.4,High Producing Exotic Grassland,,��p��tiki District
1480a1db-0c38-4878-83a5-6b4ef8217f7e,10.0,Built-up Area (settlement),Tauranga,Tauranga City
1cefd4fe-3a6b-4151-823b-319ceda08a5f,10.0,Built-up Area (settlement),Tauranga,Tauranga City
7dda3691-a78c-4da3-bc8e-df6c689855ba,8.0,High Producing Exotic Grassland,Pongakawa,Western Bay of Plenty District
833adc77-2dac-49b2-b8ca-9903e66aadc0,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4d37b184-dc8f-4d90-a48f-58326a97e285,8.8,Exotic Forest,,Western Bay of Plenty District
409dc852-f241-4d7d-9a43-4f463cfcadcf,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
cb8c6625-5c94-4f96-baf7-7c4606363041,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
39b33639-1fea-4902-a831-f895fec9d154,8.0,Short-rotation Cropland,,Whakatane District
7e203883-8043-4bb4-9a6f-55ce3bbbaadc,10.0,Broadleaved Indigenous Hardwoods,,Western Bay of Plenty District
1f28a1d9-cd2a-416f-af31-c1bac47ecdf7,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
7875abf9-5e6a-45e2-826f-6004a44b3753,10.0,High Producing Exotic Grassland,,��p��tiki District
731ca5b5-f464-48b0-b9c5-e45af3d1ea68,10.0,Built-up Area (settlement),Tauranga,Tauranga City
d90cf63f-8541-4d45-a744-f9ee37b8bd8d,8.0,Exotic Forest,,Whakatane District
243006e4-9f6a-4f87-9cd9-4d86224ced05,8.0,High Producing Exotic Grassland,,Whakatane District
cc96af68-def9-4142-a4b6-9216f40eada9,10.0,Built-up Area (settlement),Tauranga,Tauranga City
ffc77734-8fa5-42fc-8184-26eac0a9f9aa,8.0,Manuka and/or Kanuka,,Whakatane District
6d02666b-756e-482f-be88-9176b0d3fcfe,10.0,Built-up Area (settlement),Tauranga,Tauranga City
91af7d91-3b63-47d7-a164-4c4a9b28f470,8.4,Indigenous Forest,,��p��tiki District
c04f7002-2d84-4bb1-b17d-1aec4fdd206a,8.4,High Producing Exotic Grassland,Opotiki,��p��tiki District
95579889-d7fa-4d28-bc3e-85ffc535d09f,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4607329,8.4,Short-rotation Cropland,,Whakatane District
12657c9d-4f0d-4be4-b7c7-b45e92993651,10.0,Broadleaved Indigenous Hardwoods,Tauranga,Tauranga City
c15acbd1-57d1-46e7-9d64-7fb0e9504960,8.0,High Producing Exotic Grassland,,Whakatane District
3b2bca68-9d30-496a-9ec2-c92bb7b7ea30,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
f14f01f1-04ab-4c0f-bc00-1ca1b0c217e7,8.0,High Producing Exotic Grassland,,Whakatane District
ce2540d0-ce20-4d3d-aa78-72f86b5ac176,9.5,Manuka and/or Kanuka,,��p��tiki District
ca29ee8d-2dd9-45e4-b7da-471e0b66038f,8.0,High Producing Exotic Grassland,Pongakawa,Western Bay of Plenty District
fe83aa0d-35e0-4bef-8067-e584baa605a3,10.0,High Producing Exotic Grassland,,��p��tiki District
4156035,8.4,High Producing Exotic Grassland,,��p��tiki District
41d5c27c-6c6b-4d66-a61f-cd2a3cc5fc24,10.0,Urban Parkland/Open Space,,Western Bay of Plenty District
d0556573-d680-4e81-9c63-326a82e8e6b1,8.0,High Producing Exotic Grassland,,Whakatane District
5edd0633-db07-4ee1-bd3a-c6ebcd94a23d,10.0,Built-up Area (settlement),,Tauranga City
5b5dcc74-3587-4651-9a35-84ffdd5b7845,10.0,High Producing Exotic Grassland,,Whakatane District
8131d3c4-814a-437b-be61-30f8df024274,10.0,High Producing Exotic Grassland,,��p��tiki District
f4f07290-1cff-4d56-8ed8-ae8cbfca8d17,8.0,Exotic Forest,,Whakatane District
613a2277-ea78-4f4c-a56d-d15446ce2e2e,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
a152adb7-8f82-406f-8eee-b39234e741ac,10.0,Manuka and/or Kanuka,,��p��tiki District
1e41f5bb-6f56-4580-9cf5-cb535915ba27,10.0,High Producing Exotic Grassland,,Whakatane District
ef4ff77b-7452-4927-b9ec-30b03d381a79,8.4,High Producing Exotic Grassland,,��p��tiki District
cd53d9c7-efa5-4fb6-b78e-49f22137c247,10.0,Manuka and/or Kanuka,,Tauranga City
307f8650-fcf2-434e-b731-d5b8ff970e4a,10.0,Built-up Area (settlement),Tauranga,Tauranga City
04bbe5da-4202-4e65-9115-82dc3ce4223f,10.0,Broadleaved Indigenous Hardwoods,Tauranga,Tauranga City
ccaa29a3-abee-4424-bac9-ef0b138d0cc4,8.4,High Producing Exotic Grassland,,��p��tiki District
875f24b9-8c57-49e4-9a66-cbe6b3c521d6,8.0,High Producing Exotic Grassland,,Whakatane District
6fa8e7bf-f6d5-4351-aadf-2493c03ace84,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
25d1f2d7-f057-41d6-b297-e38f47aa1915,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
4605983,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
3f545ffe-c3c5-4f79-b72e-f3cb71f26bd7,10.0,Broadleaved Indigenous Hardwoods,Tauranga,Tauranga City
120186b5-ed3f-4616-8eb7-5a0d4dbcbc6f,8.0,High Producing Exotic Grassland,,Whakatane District
ceaa1adc-227b-4ecd-9de0-33dc42c256c4,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
9c3c37d2-69d2-4d00-bd13-3f043d3251f2,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4319d78b-bd40-436a-924d-45ca4ec9e25e,10.0,Broadleaved Indigenous Hardwoods,Tauranga,Tauranga City
01472350-0bd4-4e91-872e-54aa7133ab61,8.4,High Producing Exotic Grassland,,��p��tiki District
050686b0-9936-4488-975a-ea61ea87aba5,10.0,Built-up Area (settlement),Tauranga,Tauranga City
0429f924-c608-44c6-9691-560554b8904e,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
a0e9a265-96ff-4f9e-8c6b-16ea6e536626,8.0,High Producing Exotic Grassland,,Whakatane District
167a485e-eb0e-4c52-8946-25a2999aa53e,8.0,High Producing Exotic Grassland,,Whakatane District
SA20C/1067,8.0,Forest - Harvested,,Whakatane District
9a865e6e-03de-479a-9f9f-94d6d59d0375,8.0,High Producing Exotic Grassland,,Whakatane District
9b2c4bfe-12fe-4258-80f3-12e229f9003d,10.0,Built-up Area (settlement),Tauranga,Tauranga City
9110095b-597d-46b6-a29f-68944f6bb1bd,10.0,Broadleaved Indigenous Hardwoods,Tauranga,Tauranga City
0d5afdb4-87c8-4738-9694-8f029b010393,9.6,Broadleaved Indigenous Hardwoods,,Tauranga City
4585227,8.0,Built-up Area (settlement),Tauranga,Tauranga City
26bca971-94fe-4a7f-94a2-c31ade04ba4e,8.4,High Producing Exotic Grassland,,��p��tiki District
4603231,8.0,High Producing Exotic Grassland,,Whakatane District
980067b2-cb64-46d9-8f6c-7349fbb5225e,8.0,High Producing Exotic Grassland,,��p��tiki District
4134220,10.0,High Producing Exotic Grassland,,��p��tiki District
eb904488-2a5b-4afc-ba8e-dbd749aa35ef,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
712dc154-9c13-4e2c-a85c-3b00e6f8aee9,9.6,Broadleaved Indigenous Hardwoods,Tauranga,Tauranga City
4845f909-db6b-4fad-ac95-4f2439c7147d,8.4,High Producing Exotic Grassland,,Whakatane District
4151969,10.0,High Producing Exotic Grassland,,��p��tiki District
6c9a6d1f-be75-430a-825d-e3b4aad3f0ab,9.6,Indigenous Forest,,Tauranga City
c0840a78-91ab-406d-9703-3794c362d978,8.4,Short-rotation Cropland,,Whakatane District
8a08e04b-414f-42dd-83e1-8ca5e45e6441,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
8b6ffd66-c7c0-4f23-b7c6-09a4ef20662e,8.0,High Producing Exotic Grassland,,Whakatane District
ae886eb6-c739-4c27-b709-c2b4bacf2c20,10.0,Manuka and/or Kanuka,Tauranga,Tauranga City
af6436b4-0ddf-49c8-b7e8-169dce8e0f08,8.0,High Producing Exotic Grassland,,Whakatane District
4150982,8.4,High Producing Exotic Grassland,,��p��tiki District
90005a8e-6ead-432d-bc75-234b10da1da2,8.0,Exotic Forest,Pongakawa,Western Bay of Plenty District
5dad243b-3ca2-4c06-af09-9b8729be7a0c,8.0,High Producing Exotic Grassland,,Whakatane District
4604644,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4578751,8.0,High Producing Exotic Grassland,,Whakatane District
7101364,8.4,High Producing Exotic Grassland,,��p��tiki District
8c234f9e-fa79-487e-a24d-2d4594dec3ba,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
8e46df3f-0c54-4bf8-8fe0-31f9bf759b4f,10.0,High Producing Exotic Grassland,,��p��tiki District
9ac75b18-5f2b-4272-85af-5aaf37a29028,10.0,Forest - Harvested,,Western Bay of Plenty District
9c250153-846b-4d0c-9bb5-9accda4a3ee7,8.4,High Producing Exotic Grassland,,��p��tiki District
adfcfe8c-e5dd-4229-9647-386a40a05ddb,10.0,High Producing Exotic Grassland,,��p��tiki District
d0d2d49b-0776-4bad-9d6a-474b4e401913,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
d91143db-bc58-4dda-b992-7956a87c2b2a,8.4,High Producing Exotic Grassland,,��p��tiki District
4151693,8.0,High Producing Exotic Grassland,,Whakatane District
dd8a8df9-0c15-499d-af28-5f4a5f93200b,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
e0dbc889-46f0-4f7c-a166-9109033ec6dd,10.0,Indigenous Forest,,Western Bay of Plenty District
4603611,10.0,Indigenous Forest,,Western Bay of Plenty District
4582301,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
6965165,10.0,Manuka and/or Kanuka,,��p��tiki District
4257514,8.4,Urban Parkland/Open Space,,Whakatane District
4320455,8.4,High Producing Exotic Grassland,,Whakatane District
4582239,8.0,Built-up Area (settlement),Te Puke,Western Bay of Plenty District
4304222,8.0,Indigenous Forest,,Whakatane District
4582103,9.6,Indigenous Forest,,Western Bay of Plenty District
7448464,8.4,High Producing Exotic Grassland,,Whakatane District
4577478,8.0,Low Producing Grassland,,Whakatane District
4575675,8.8,High Producing Exotic Grassland,,Western Bay of Plenty District
4574678,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4570989,10.0,Short-rotation Cropland,,Western Bay of Plenty District
4542114,10.0,Urban Parkland/Open Space,Tauranga,Tauranga City
4277597,8.0,Broadleaved Indigenous Hardwoods,,Whakatane District
4605168,10.0,Urban Parkland/Open Space,Tauranga,Tauranga City
4580739,8.0,High Producing Exotic Grassland,,Whakatane District
4579575,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4602981,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4562242,8.4,Herbaceous Saline Vegetation,,Whakatane District
4570414,8.8,Built-up Area (settlement),,Western Bay of Plenty District
6914388,10.0,Built-up Area (settlement),Tauranga,Tauranga City
4603169,10.0,Indigenous Forest,,Western Bay of Plenty District
4586395,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4570387,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
431c96d3-779e-4bb6-b203-b0dac7368bb5,10.0,High Producing Exotic Grassland,,��p��tiki District
4571622,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
6659321,8.4,High Producing Exotic Grassland,,��p��tiki District
4406757,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4573713,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4151621,8.4,High Producing Exotic Grassland,,��p��tiki District
4577363,10.0,Low Producing Grassland,,Western Bay of Plenty District
4590203,10.0,High Producing Exotic Grassland,Te Puke,Western Bay of Plenty District
4578578,10.0,Built-up Area (settlement),Tauranga,Tauranga City
4153034,10.0,High Producing Exotic Grassland,,��p��tiki District
6627007,10.0,Built-up Area (settlement),Tauranga,Tauranga City
7070713,10.0,Built-up Area (settlement),Tauranga,Tauranga City
4590568,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4364980,8.0,Indigenous Forest,,Whakatane District
4603061,8.0,Gorse and/or Broom,,Western Bay of Plenty District
4347704,8.0,High Producing Exotic Grassland,,Whakatane District
4576106,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4320513,8.4,River,,Whakatane District
4568215,8.0,Exotic Forest,,Whakatane District
4604624,10.0,Indigenous Forest,,Western Bay of Plenty District
4294812,8.4,Urban Parkland/Open Space,,Whakatane District
e553c446-6f01-4a98-bb92-0fd9baff6498,8.0,High Producing Exotic Grassland,,Whakatane District
4581565,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4156767,8.0,High Producing Exotic Grassland,,��p��tiki District
4151316,10.0,High Producing Exotic Grassland,,��p��tiki District
7782490,8.0,Indigenous Forest,,Whakatane District
4489245,8.0,Exotic Forest,,Whakatane District
4572606,8.0,Exotic Forest,,Whakatane District
4280919,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4603154,8.4,Indigenous Forest,,Western Bay of Plenty District
4586824,10.0,Built-up Area (settlement),,Western Bay of Plenty District
4116791,8.4,High Producing Exotic Grassland,,��p��tiki District
6878595,10.0,Built-up Area (settlement),Tauranga,Tauranga City
4574117,9.6,Indigenous Forest,,Western Bay of Plenty District
6825064,10.0,Built-up Area (settlement),Tauranga,Tauranga City
4603530,8.8,Indigenous Forest,,Western Bay of Plenty District
4569900,8.0,Broadleaved Indigenous Hardwoods,Te Puke,Western Bay of Plenty District
612634,8.0,Forest - Harvested,,Whakatane District
4579976,8.4,High Producing Exotic Grassland,,Whakatane District
7191442,8.4,High Producing Exotic Grassland,,��p��tiki District
838f2628-df6f-48d0-9420-b786485ffc71,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
8580033,8.4,High Producing Exotic Grassland,,��p��tiki District
4582361,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4405167,8.0,High Producing Exotic Grassland,,Whakatane District
4606491,8.4,High Producing Exotic Grassland,,Whakatane District
4577542,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4353183,8.0,Indigenous Forest,,Whakatane District
4407542,8.0,Broadleaved Indigenous Hardwoods,,Whakatane District
d97e5d06-8303-4fb3-aeb4-5879397bec0a,8.0,Deciduous Hardwoods,Te Puke,Western Bay of Plenty District
4589260,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
bf2aa7c9-8c8d-44b9-a059-66e616078946,8.0,High Producing Exotic Grassland,Pongakawa,Western Bay of Plenty District
4602409,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
4137397,8.4,Gravel and Rock,,��p��tiki District
4e34f985-8c70-44ba-8366-8b4cdaf38c04,10.0,High Producing Exotic Grassland,,Whakatane District
55af7691-17c5-4325-ba84-66c889a2a25d,10.0,Built-up Area (settlement),Tauranga,Tauranga City
4574990,8.0,High Producing Exotic Grassland,,Whakatane District
6391cfba-bf4c-477e-8d10-b5fad2275013,10.0,High Producing Exotic Grassland,,Tauranga City
eec8d9e8-36dd-4009-91d9-d2387cf3d2e3,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
6764767,8.0,Indigenous Forest,,Whakatane District
4604721,8.4,High Producing Exotic Grassland,,Whakatane District
4552575,8.0,Manuka and/or Kanuka,,Whakatane District
4584820,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4575753,10.0,Built-up Area (settlement),Tauranga,Tauranga City
4576722,8.0,High Producing Exotic Grassland,,Whakatane District
4280508,8.0,High Producing Exotic Grassland,,Whakatane District
4402208,8.0,Broadleaved Indigenous Hardwoods,,Whakatane District
4544173,8.0,High Producing Exotic Grassland,,Whakatane District
0691ea83-21e3-43d4-8345-ea3d8c290cdf,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
bf97d02a-ffa7-4c21-a441-cebe50a6fe72,10.0,Built-up Area (settlement),Tauranga,Tauranga City
4582861,10.0,Built-up Area (settlement),,Western Bay of Plenty District
4509153,8.0,Broadleaved Indigenous Hardwoods,,Whakatane District
ccfcb591-7cf9-4a0a-8385-d21c036ffa6d,8.4,Short-rotation Cropland,,��p��tiki District
4586008,8.0,Indigenous Forest,,Whakatane District
4575864,10.0,Exotic Forest,,Whakatane District
ef6fb49e-a9aa-444e-9145-a6cdfab03dc0,10.0,Built-up Area (settlement),Tauranga,Tauranga City
4601014,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4604308,8.0,High Producing Exotic Grassland,,Whakatane District
4580803,8.4,Herbaceous Saline Vegetation,,Whakatane District
4478273,10.0,Herbaceous Freshwater Vegetation,Tauranga,Tauranga City
4521073,8.0,Broadleaved Indigenous Hardwoods,,Whakatane District
4328904,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4381018,8.0,Indigenous Forest,,Whakatane District
4606937,8.0,Broadleaved Indigenous Hardwoods,,Whakatane District
6592a090-72b9-45cb-8055-05285b4b4358,9.6,Broadleaved Indigenous Hardwoods,Tauranga,Tauranga City
4574801,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
ad5c0090-cba3-48a9-9bd1-6ec8df758b73,8.8,High Producing Exotic Grassland,,Western Bay of Plenty District
4151971,10.0,High Producing Exotic Grassland,,��p��tiki District
4443108,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4480846,9.6,Indigenous Forest,,Western Bay of Plenty District
4497146,9.6,Indigenous Forest,,Western Bay of Plenty District
4604655,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4138571,10.0,Indigenous Forest,,��p��tiki District
4152173,8.0,High Producing Exotic Grassland,,Whakatane District
4151987,8.0,High Producing Exotic Grassland,,Whakatane District
4149122,8.4,Manuka and/or Kanuka,,��p��tiki District
2e15f4ff-d13a-4671-b42f-1e95265eb254,10.0,Forest - Harvested,,��p��tiki District
bf1f312e-4828-4e5b-b458-a3bd28aa690f,10.0,High Producing Exotic Grassland,,��p��tiki District
6814028,10.0,Built-up Area (settlement),Tauranga,Tauranga City
4153001,10.0,Indigenous Forest,,��p��tiki District
4604923,10.0,Indigenous Forest,,Western Bay of Plenty District
4460959,9.6,Indigenous Forest,,Whakatane District
4436675,9.6,Exotic Forest,Tauranga,Western Bay of Plenty District
4579961,10.0,Built-up Area (settlement),,Western Bay of Plenty District
4581115,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4577754,10.0,Gorse and/or Broom,,Western Bay of Plenty District
3defc3c2-0dc5-4cc3-acfd-b71c5117920b,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
cb85203e-80dd-4380-8848-db6fb04c8ae2,8.4,Short-rotation Cropland,,Whakatane District
6913338,8.4,High Producing Exotic Grassland,,��p��tiki District
2997b0e3-ee4f-4691-a136-62f5e12a4d16,8.0,High Producing Exotic Grassland,,Whakatane District
4589708,8.4,River,,Whakatane District
4574554,8.8,Built-up Area (settlement),,Western Bay of Plenty District
4603292,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
d8c6fb2a-4dd7-4c77-a012-6212e5ab87e3,8.4,High Producing Exotic Grassland,,��p��tiki District
4603390,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4579270,8.8,High Producing Exotic Grassland,,Western Bay of Plenty District
7a0ac854-5421-41e8-822d-c3ccf44e6e43,10.0,Short-rotation Cropland,,Western Bay of Plenty District
94f97881-1607-4e12-bc22-f1647c409ef4,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
4572173,8.0,Indigenous Forest,,Western Bay of Plenty District
4570670,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4364359,8.0,High Producing Exotic Grassland,,Whakatane District
4ae8566a-1cab-425a-bea8-f76f42d64a6e,8.0,Exotic Forest,Pongakawa,Whakatane District
4603322,8.0,High Producing Exotic Grassland,Pongakawa,Western Bay of Plenty District
6824769,10.0,Built-up Area (settlement),Tauranga,Tauranga City
4603172,8.4,Short-rotation Cropland,,Whakatane District
4571446,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4589300,8.4,High Producing Exotic Grassland,,Whakatane District
4603345,10.0,Broadleaved Indigenous Hardwoods,Te Puke,Western Bay of Plenty District
4435231,8.0,Exotic Forest,,Whakatane District
4603980,8.0,High Producing Exotic Grassland,Pongakawa,Western Bay of Plenty District
6975640,8.0,High Producing Exotic Grassland,,��p��tiki District
4569331,8.0,Low Producing Grassland,,Western Bay of Plenty District
6575540,8.4,Deciduous Hardwoods,,Western Bay of Plenty District
4583772,8.4,High Producing Exotic Grassland,,Whakatane District
4583575,8.4,Short-rotation Cropland,,Whakatane District
7440066,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
7230575,10.0,Built-up Area (settlement),,Western Bay of Plenty District
6550451,8.4,High Producing Exotic Grassland,,Whakatane District
4344137,8.4,Urban Parkland/Open Space,,Whakatane District
4311240,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4372582,8.0,Indigenous Forest,,Whakatane District
4603081,9.6,Exotic Forest,,Western Bay of Plenty District
4568323,10.0,Urban Parkland/Open Space,Tauranga,Tauranga City
4570976,9.6,Indigenous Forest,Tauranga,Western Bay of Plenty District
4576242,8.0,High Producing Exotic Grassland,,Whakatane District
4578745,8.0,High Producing Exotic Grassland,,Whakatane District
4570032,10.0,Built-up Area (settlement),Tauranga,Tauranga City
4572282,9.6,Indigenous Forest,,Western Bay of Plenty District
4579683,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4152391,10.0,High Producing Exotic Grassland,,��p��tiki District
eedb243d-0a0c-408b-ab22-370dac10cc35,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4573262,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4580877,8.8,Indigenous Forest,,Western Bay of Plenty District
4417689,8.0,High Producing Exotic Grassland,,Whakatane District
4603773,8.0,High Producing Exotic Grassland,,Whakatane District
4152983,10.0,High Producing Exotic Grassland,,��p��tiki District
4444117,10.0,High Producing Exotic Grassland,Te Puke,Western Bay of Plenty District
4440255,9.6,Indigenous Forest,,Western Bay of Plenty District
6981702,8.0,High Producing Exotic Grassland,Pongakawa,Western Bay of Plenty District
4582247,10.0,Exotic Forest,,Western Bay of Plenty District
4604331,8.4,High Producing Exotic Grassland,,Whakatane District
4568360,10.0,Exotic Forest,,Western Bay of Plenty District
4603671,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
6605494,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4568328,8.0,Indigenous Forest,,Whakatane District
8209449,8.0,High Producing Exotic Grassland,Pongakawa,Western Bay of Plenty District
4579291,8.0,Exotic Forest,,Whakatane District
4606278,8.0,High Producing Exotic Grassland,,Whakatane District
8220102,8.8,Indigenous Forest,,Western Bay of Plenty District
4258864,8.0,High Producing Exotic Grassland,,Whakatane District
e6734da6-6d3b-48a8-9618-9cd5f8fb878a,10.0,Built-up Area (settlement),Katikati,Western Bay of Plenty District
4568854,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4576334,10.0,Broadleaved Indigenous Hardwoods,Tauranga,Tauranga City
4603164,10.0,Indigenous Forest,,Western Bay of Plenty District
4603159,8.0,Indigenous Forest,,Western Bay of Plenty District
4155783,8.4,High Producing Exotic Grassland,,��p��tiki District
4581517,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4587946,8.0,High Producing Exotic Grassland,,Whakatane District
4604222,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4588982,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4152273,10.0,Built-up Area (settlement),,��p��tiki District
4150252,10.0,High Producing Exotic Grassland,,��p��tiki District
4151623,8.4,Built-up Area (settlement),,��p��tiki District
4152302,10.0,High Producing Exotic Grassland,,��p��tiki District
4588363,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4606745,9.6,Indigenous Forest,,Western Bay of Plenty District
4568290,8.0,Built-up Area (settlement),,Tauranga City
4582258,10.0,Indigenous Forest,Te Puke,Western Bay of Plenty District
4152815,10.0,High Producing Exotic Grassland,,��p��tiki District
4575860,8.0,High Producing Exotic Grassland,,Whakatane District
6696621,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4589923,10.0,Indigenous Forest,,Western Bay of Plenty District
4580441,8.0,High Producing Exotic Grassland,Te Puke,Western Bay of Plenty District
4571663,8.0,Estuarine Open Water,Tauranga,Tauranga City
4456624,8.0,High Producing Exotic Grassland,,Whakatane District
4260882,8.0,High Producing Exotic Grassland,,Whakatane District
139ceb26-24b5-41b0-afbf-716eb492cfbb,10.0,High Producing Exotic Grassland,,Tauranga City
4582972,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4150225,10.0,Indigenous Forest,,��p��tiki District
4152149,8.4,Manuka and/or Kanuka,,��p��tiki District
4149694,8.4,High Producing Exotic Grassland,,��p��tiki District
4571009,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4602996,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4604193,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4587147,9.6,Broadleaved Indigenous Hardwoods,,Western Bay of Plenty District
4588016,8.0,High Producing Exotic Grassland,,Whakatane District
4589729,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4589455,8.0,High Producing Exotic Grassland,,Whakatane District
4603060,8.8,Indigenous Forest,,Western Bay of Plenty District
4573307,8.0,Exotic Forest,,Whakatane District
4603602,10.0,Indigenous Forest,,Western Bay of Plenty District
4571555,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
